%time sig_out sig_in
0 0 0.351731165137
1e-06 0.00120061427076 0.192284310209
2e-06 0.00109007237746 -0.225180201036
3e-06 -0.0013243174817 -0.543578205341
4e-06 -0.00341456787309 -0.126508044192
5e-06 -0.00603916543518 -0.718381040382
6e-06 -0.00739316298884 0.273957904758
7e-06 -0.00751149676211 -0.326529374407
8e-06 -0.00884180385748 -0.11327382633
9e-06 -0.0102442294593 -0.352218140671
1e-05 -0.0112361356211 0.0150042381106
1.1e-05 -0.0102820758648 0.267164202856
1.2e-05 -0.00717831043036 0.703334633014
1.3e-05 -0.00493703347649 -0.00202936482851
1.4e-05 -0.00565506381401 -0.237118887473
1.5e-05 -0.0062095008558 0.048771531136
1.6e-05 -0.00624364390437 -0.0720927458026
1.7e-05 -0.00774589714097 -0.420078852003
1.8e-05 -0.00895929420795 0.0171373783666
1.9e-05 -0.00990129352393 -0.335845661153
2e-05 -0.0101117687226 0.248836262374
2.1e-05 -0.00933801803169 -0.0219935547722
2.2e-05 -0.0110369119261 -0.53915609734
2.3e-05 -0.0132911175927 -0.202707881347
2.4e-05 -0.0136886131479 0.0492013856466
2.5e-05 -0.0134105721959 0.0122026127932
2.6e-05 -0.0133928553456 -0.033366591706
2.7e-05 -0.0130973106963 0.100951209324
2.8e-05 -0.0135816431896 -0.281797984012
2.9e-05 -0.013074679499 0.416513215982
3e-05 -0.0111876266022 0.159892070694
3.1e-05 -0.0107746236106 -0.0503913856552
3.2e-05 -0.00990035773196 0.308003876652
3.3e-05 -0.00911377742059 -0.07664172242
3.4e-05 -0.010360354175 -0.339630114005
3.5e-05 -0.0108352670113 0.167265041952
3.6e-05 -0.00985042291643 0.125534879876
3.7e-05 -0.0095055937872 -0.035128375699
3.8e-05 -0.00994706147951 -0.124847810462
3.9e-05 -0.0100138047102 0.0836419141168
4e-05 -0.00978054447426 -0.0291872241569
4.1e-05 -0.0078886622668 0.613722827544
4.2e-05 -0.0051254943633 0.252806676696
