%frequency sig_1.db sig_1.deg
1  -640 0
1.15783525058  -640 0
1.34058246747  -640 0
1.55217363715  -640 0
1.7971613521  -640 0
2.08081676443  -640 0
2.40924299985  -640 0
2.78950647243  -640 0
3.22978892548  -640 0
3.73956346984  -640 0
4.32979840715  -640 0
5.01319322368  -640 0
5.80445183232  -640 0
6.72059894172  -640 0
7.78134635971  -640 0
9.0095171122  -640 0
10.4315365032  -640 0
12.078000681  -640 0
13.984334945  -640 0
16.1915559551  -640 0
18.7471542465  -640 0
21.7061160346  -640 0
25.1321062979  -640 0
29.0988385929  -640 0
33.6916610737  -640 0
39.0093928416  -640 0
45.1664501355  -640 0
52.2953081102  -640 0
60.5493511697  -640 0
70.1061731838  -640 0
81.1713985951  -640 0
93.9831066319  -640 0
108.816953817  -640 0
125.992104989  -640 0
145.878100451  -640 0
168.902806989  -640 0
195.561623853  -640 0
226.428141757  -640 0
262.166484248  -640 0
303.545596982  -640 0
351.455792343  -640 0
406.927905393  -640 0
471.155473307  -640 0
545.520415496  -640 0
631.62276697  -640 0
731.315104664  -640 0
846.742407458  -640 0
980.388207512  -640 0
1135.12802591  -640 0
1314.29124231  -640 0
1521.73272987  -640 0
1761.91579659  -640 0
2040.00821784  -640 0
2361.99342608  -640 0
2734.79925034  -640 0
3166.44697529  -640 0
3666.22392707  -640 0
4244.88329927  -640 0
4914.87551847  -640 0
5690.61612747  -640 0
6588.79594988  -640 0
7628.74020962  -640 0
8832.82433218  -640 0
10226.9553739  -640 0
11841.129438  -640 0
13710.0770699  -640 0
15874.0105197  -640 0
18379.4889477  -640 0
21280.4201912  -640 0
24639.2206444  -640 0
28528.1582088  -640 0
33030.9072081  -640 0
38244.3487241  -640 0
44280.655088  -640 0
51269.7033795  -640 0
59361.8698593  -640 0
68731.2654631  -640 0
79579.4819699  -640 0
92139.9294472  -640 0
106682.858299  -640 0
123521.173971  -640 0
143017.169416  -640 0
165590.320188  -640 0
191726.309867  -640 0
221987.480027  -640 0
257024.929562  -640 0
297592.523723  -640 0
344563.114275  -640 0
398947.319755  -640 0
461915.269935  -640 0
534821.78231  -640 0
619235.512333  -640 0
716972.704588  -640 0
830136.271072  -640 0
961161.037428  -640 0
1112866.13061  -640 0
1288515.6352  -640 0
1491888.82335  -640 0
1727361.46961  -640 0
2000000  -640 0
