%time sig_1 sig_2 sig_3
0 0.351731165137 0 1
1e-06 0.192284310209 0.00120061427076 0
2e-06 -0.225180201036 0.00109007237746 1
3e-06 -0.543578205341 -0.0013243174817 0
4e-06 -0.126508044192 -0.00341456787309 0
5e-06 -0.718381040382 -0.00603916543518 0
6e-06 0.273957904758 -0.00739316298884 1
7e-06 -0.326529374407 -0.00751149676211 0
8e-06 -0.11327382633 -0.00884180385748 1
9e-06 -0.352218140671 -0.0102442294593 1
1e-05 0.0150042381106 -0.0112361356211 1
1.1e-05 0.267164202856 -0.0102820758648 0
1.2e-05 0.703334633014 -0.00717831043036 1
1.3e-05 -0.00202936482851 -0.00493703347649 0
1.4e-05 -0.237118887473 -0.00565506381401 1
1.5e-05 0.048771531136 -0.0062095008558 0
1.6e-05 -0.0720927458026 -0.00624364390437 0
1.7e-05 -0.420078852003 -0.00774589714097 0
1.8e-05 0.0171373783666 -0.00895929420795 1
1.9e-05 -0.335845661153 -0.00990129352393 0
2e-05 0.248836262374 -0.0101117687226 1
2.1e-05 -0.0219935547722 -0.00933801803169 0
2.2e-05 -0.53915609734 -0.0110369119261 1
2.3e-05 -0.202707881347 -0.0132911175927 0
2.4e-05 0.0492013856466 -0.0136886131479 1
2.5e-05 0.0122026127932 -0.0134105721959 0
2.6e-05 -0.033366591706 -0.0133928553456 1
2.7e-05 0.100951209324 -0.0130973106963 0
2.8e-05 -0.281797984012 -0.0135816431896 1
2.9e-05 0.416513215982 -0.013074679499 0
3e-05 0.159892070694 -0.0111876266022 1
3.1e-05 -0.0503913856552 -0.0107746236106 0
3.2e-05 0.308003876652 -0.00990035773196 1
3.3e-05 -0.07664172242 -0.00911377742059 0
3.4e-05 -0.339630114005 -0.010360354175 0
3.5e-05 0.167265041952 -0.0108352670113 0
3.6e-05 0.125534879876 -0.00985042291643 1
3.7e-05 -0.035128375699 -0.0095055937872 0
3.8e-05 -0.124847810462 -0.00994706147951 1
3.9e-05 0.0836419141168 -0.0100138047102 0
4e-05 -0.0291872241569 -0.00978054447426 1
4.1e-05 0.613722827544 -0.0078886622668 0
4.2e-05 0.252806676696 -0.0051254943633 0
4.3e-05 0.319867173308 -0.00329991719218 0
4.4e-05 -0.0917278889568 -0.0025647720279 1
4.5e-05 -0.263759811474 -0.00366200757097 0
4.6e-05 0.448250351217 -0.00306129157943 1
4.7e-05 -0.0089306031456 -0.00166627579538 0
4.8e-05 0.486383040824 -0.000160575502116 1
4.9e-05 0.423370339306 0.00268955401317 0
5e-05 -0.241471490863 0.00324237040895 1
5.1e-05 0.156200137017 0.00295501289628 0
5.2e-05 -0.222596289905 0.00272856773499 1
5.3e-05 -0.110862669291 0.00166716591397 1
5.4e-05 -0.219405670533 0.000622404426499 1
5.5e-05 -0.209363522409 -0.000724293625774 0
5.6e-05 -0.212588209647 -0.00204120601402 1
5.7e-05 0.26370788685 -0.00186832665256 0
5.8e-05 0.0239724610529 -0.000955680305488 1
5.9e-05 0.217457029781 -0.000193596630746 0
6e-05 0.0124445090237 0.000527611017467 1
6.1e-05 -0.0502683309755 0.000405851417564 0
